NSN;Price;common_name
5120-00-293-0791;3.89;Punches (Pin)
5120-00-293-0792;3.54;Punches (Pin)
5120-00-293-0793;4.02;Punches (Pin)
5120-00-293-0796;6.63;Nut Driver (Conventional)
5120-00-293-0798;45.64;Spanner Wrench
5120-00-293-0808;13.62;Electron Tube Extractor
5120-00-293-0842;117;Body Repair (Surfacing Body Spoon)
5120-00-293-0873;7.7;Tube Swaging Tool
5120-00-293-0874;5.34;Tube Swaging Tool
5120-00-293-0875;7.62;Tube Swaging Tool
5120-00-293-0887;42.71;Blacksmith's/Engineer's Hammer (Sledge)
5120-00-293-1108;620.43;Portable Tripod Stand Vise
5120-00-293-1136;47.32;Marlin Spike (Wire Rope)
5120-00-293-1289;45.31;Lug Nut Wrench
5120-00-293-1324;18.79;Wrench (Open End) (Single Head)
5120-00-293-1349;5.07;Open End Wrench (Angle Style)
5120-00-293-1408;3.95;Punches (Starting)
5120-00-293-1439;455.88;Machinist's Vise
5120-00-293-1476;0.22;Hex Key
5120-00-293-1602;17.06;Spanner Wrench
5120-00-293-1608;29.46;Flat Tip Screwdriver (Non-Sparking)
5120-00-293-1828;16.05;Open End Wrench
5120-00-293-2050;1.38;Jewelers Screwdriver Replacement Blade
5120-00-293-2051;1.46;Jewelers Screwdriver Replacement Blade
5120-00-293-2052;1.46;Jewelers Screwdriver Replacement Blade
5120-00-293-2056;1.38;Jeweler's Screwdriver Replacement Blade
5120-00-293-2057;0.89;Screwdriver Bit (Flat Tip)
5120-00-293-2081;0.42;Alignment Tool (Electronic Equipment)
5120-00-293-2134;9.06;Open End Wrench (Double Head)
5120-00-293-2204;15.2;Body Repair (Picking Hammer)
5120-00-293-2206;16.5;Body Repair (Picking/Pecking Peen Hammer)
5120-00-293-2319;62.69;Crimping Tool (Pliers Style)
5120-00-293-2384;6.87;Wrecking Bar
5120-00-293-2513;16.42;Retaining Ring Pliers (External)
5120-00-293-2925;24.42;Mechanical Puller
5120-00-293-2997;9.35;Hammer Insert (Soft Face)
5120-00-293-2999;4.59;Hammer Insert (Soft Face)
5120-00-293-3002;18.2;Hammer Insert (Soft Face)
5120-00-293-3003;4.5;Hammer Insert (Soft Face)
5120-00-293-3005;10.07;Hammer Insert (Soft Face)
5120-00-293-3007;3.97;Hammer Insert (Soft Face)
5120-00-293-3009;245.31;Adjustable Wrench (Crescent)(Non-Sparking)
5120-00-293-3183;5.94;Flat Tip Screwdriver
5120-00-293-3309;6.31;Flat Tip Screwdriver
5120-00-293-3311;4.9;Flat Tip Screwdriver
5120-00-293-3330;15.07;Shovel
5120-00-293-3336;19.91;Shovel
5120-00-293-3397;32.93;Mallet (Rawhide)
5120-00-293-3399;16.68;Rubber Mallet
5120-00-293-3453;110.39;Box Wrench Set (Double Head)
5120-00-293-3466;46.66;Punches (Center)
5120-00-293-3478;54.24;Pliers (Gas)
5120-00-293-3480;17.2;Pliers (Flat/Duck Bill Nose)
5120-00-293-3481;14.94;Pliers (Round Nose)
5120-00-293-3485;24.51;Pliers (Fencing)
5120-00-293-3486;15.12;Pliers (Round Nose)
5120-00-293-3509;3.33;Punches (Center)
5120-00-293-3510;3.18;Punches (Center)
5120-00-293-3512;3.91;Punches (Center)
5120-00-294-4605;3.9;Putty Knife
5120-00-294-9514;11.65;Nut Driver (Conventional)
5120-00-301-0037;137.98;Mechanical Puller
5120-00-301-1076;8.66;Screwdriver Bit (Set)
5120-00-302-5696;6.99;Wrench (Open End) (Single Head)
5120-00-303-7737;16.75;Wrench Assembly
5120-00-305-2275;573.68;Screw Extractor Set (Combination)
5120-00-305-2306;60.98;Wire Twister Pliers
5120-00-308-3809;1.61;Tire Valve Repair Tool
5120-00-315-4003;42.81;Socket Screwdriver Bit (Hi-Torque)
5120-00-316-9217;50.75;Lug Nut Wrench
5120-00-321-4507;27.29;Slip-Joint Pliers (Straight Nose)
5120-00-322-6231;146.79;Socket Set (Standard, Mixed)
5120-00-323-2292;235.1;Splicing Sleeve Compressing Tool
5120-00-330-7602;110.77;Printed Circuit Board Vise
5120-00-331-5502;3.31;Screwdriver Bit (Adapter/Holder)
5120-00-337-9652;10145.64;Torque Wrench Multiplier
5120-00-340-2010;11;Mechanical Puller (Leg)
5120-00-355-6143;27.33;Puller
5120-00-357-5853;21.07;Screw Extractor Set
5120-00-357-5868;22.67;Hammer Insert (Soft Face)
5120-00-357-6065;89.76;Blind Riveter (Lightweight)
5120-00-357-7175;26.86;Screwdriver Set
5120-00-357-9168;35.11;Tap & Reamer Wrench
5120-00-363-3914;0.88;Inspection Mirror (Replacement)
5120-00-378-4411;545.84;Geared Socket Wrench
5120-00-379-2490;16.69;Burner Slot Cleaner
5120-00-390-8586;221.53;Stud Remover & Setter Set
5120-00-391-0101;451.01;Tube Flaring Tool (Hand)
5120-00-391-0116;195.45;Yoke Riveter
5120-00-391-0119;146.24;Fastener Installation Tool Set
5120-00-398-4195;4.01;Screwdriver Bit (Torq Set Tip)
5120-00-399-1154;159.69;Torque Wrench Adapter
5120-00-406-3181;3.44;Screwdriver Bit (Hex Tip)
5120-00-408-1434;23.23;Retaining Ring Pliers (External)
5120-00-408-1493;34.74;Punch Set (Center)
5120-00-409-5206;93.21;Electrical Contact Tool (Removing)
5120-00-422-8558;25.64;Tire Iron
5120-00-423-6728;43.24;Adjustable Wrench (Crescent)
5120-00-432-2196;3.2;Hex Key Set (Metric)
5120-00-432-9540;35.89;Electrical Contact Inserter
5120-00-432-9545;29.05;Extraction Tool
5120-00-439-8277;0.29;Screwdriver Bit (Phillips)
5120-00-439-8988;2.69;Hex Key Set (Jackknife Type)
5120-00-440-8008;70.43;Nut Driver Set
5120-00-448-3924;3.5;Helical Spring Puller, Hand Hook
5120-00-448-3927;3.5;Pull-Type Helical Spring Hook
5120-00-449-3769;29.58;Mechanical Puller
5120-00-449-8083;19.8;Adjustable Wrench (Crescent)
5120-00-449-8084;109.97;Adjustable Wrench (Crescent)
5120-00-449-8128;56.86;Open End Wrench Set (Double Head)
5120-00-468-0916;96.9;Spanner Wrench
5120-00-469-1856;55.42;Spanner Wrench
5120-00-473-6283;33.93;Screwdriver Bit (Hex)
5120-00-473-6320;63.84;Cheater Bar
5120-00-473-6476;24.79;Adjustable Wrench (Automotive)
5120-00-473-6538;19.63;Open End Wrench (Tappet)
5120-00-473-7121;123.49;Remover
5120-00-490-4283;96.97;Mechanical Puller
5120-00-490-4856;60.38;Open End Wrench (Double Head)
5120-00-494-1863;17.95;Shovel (Snow)
5120-00-494-1889;16.56;Vise Grip (Sheet Metal Clamp)
5120-00-494-1895;19.13;Vise Grip (Welding Clamp)
5120-00-494-1910;9.88;Vise Grip Pliers (Curved Jaw)
5120-00-494-1911;11.48;Vise Grip Pliers (Curved Jaw)
5120-00-494-1929;9.45;Torch and Regulator Wrench
5120-00-494-1989;87.04;Spanner Wrench
5120-00-498-7365;7.88;Screwdriver (Phillips)
5120-00-501-6010;19.85;Timber Wedge
5120-00-505-5477;17.57;Lamp Extractor
5120-00-505-5918;41.82;Drift Pin
5120-00-507-0649;117.53;Lock Pick Set
5120-00-507-4886;42.36;Bung Wrench
5120-00-508-9752;2.67;Alignment Tool (Electronic Equipment)
5120-00-508-9755;1.88;Alignment Tool (Electronic Equipment)
5120-00-511-1432;35.95;Spud Nut Wrench
5120-00-513-1754;237.96;Spanner Wrench Socket Set
5120-00-516-3120;47.63;Mechanical Puller
5120-00-516-4334;28.86;Hammer (Soft Face)
5120-00-517-5347;9.59;Tap and Reamer Wrench
5120-00-526-6044;11.89;Pry Bar (Pinch)
5120-00-528-2891;2.67;Screwdriver Bit (Adapter/Holder)
5120-00-528-2892;1.73;Screwdriver Bit (Adapter/Holder)
5120-00-529-1475;6.38;Hex Key Set
5120-00-529-2553;113.42;Hex Key Set (Spline)
5120-00-529-3101;10.16;Screwdriver (Phillips)
5120-00-529-3744;122.77;C Clamp
5120-00-529-4124;22.36;Storage Battery Carrier
5120-00-537-3375;13.53;Slip Joint Pliers (Straight Nose)
5120-00-540-1416;106.11;Screw Extractor Set (Combination)
5120-00-540-4273;17.12;Hammer Insert (Soft Face)
5120-00-541-3001;297.62;Torque Wrench (Indicating)
5120-00-541-3186;53.85;Lug Nut Wrench
5120-00-541-4074;16.69;Crowfoot Wrench (Flare Nut)
5120-00-541-4075;17.64;Crowfoot Wrench (Flare Nut)
5120-00-541-4687;1.41;Tire Valve Core Inserter/Remover
5120-00-541-5556;0.17;Hex Key
5120-00-541-6731;125.53;Adjustable Joint Pliers (Angle Nose)
5120-00-541-6732;112.83;Pliers (Round Nose)
5120-00-541-8444;46.2;Socket Wrench (Reversible Ratchet)
5120-00-542-3438;5.18;Screwdriver (Phillips)
5120-00-542-4171;96.23;Wire Twister Pliers
5120-00-542-5681;39.11;Torque Wrench (Indicating)
5120-00-542-5799;38.39;Nut Driver Set
5120-00-545-4268;11.03;Retrieving Tool (Magnetic)
5120-00-555-1521;762.79;Torque Wrench (Indicating)
5120-00-555-2074;5.57;Hammer Insert (Soft Face)
5120-00-555-2077;10.02;Hammer Insert (Soft Face)
5120-00-555-2086;40.16;Hammer Insert (Soft Face)
5120-00-555-2353;8.47;Socket Screwdriver Bit (Hex)
5120-00-555-2639;0.16;Hex Key
5120-00-568-4742;137.69;Torque Wrench (Indicating, Screwdriver)
5120-00-574-9318;402.02;Torque Wrench Multiplier
5120-00-580-0334;46.54;Screwdriver Set
5120-00-580-2359;1.28;Screw Extractor
5120-00-580-8924;59.85;Tire Iron
5120-00-585-2383;9.84;Welder's Hammer
5120-00-585-7705;121.36;Socket Wrench
5120-00-585-7706;114.47;Torque Wrench (Indicating)
5120-00-585-8434;150.54;Torque Wrench (Indicating)
5120-00-595-8190;1800.66;Tube Bender (Worm Gear)
5120-00-595-8197;0.24;Screwdriver Bit (Phillips)
5120-00-595-8198;0.77;Screwdriver Bit (Phillips)
5120-00-595-8279;10.58;Screw Extractor Set
5120-00-595-8342;24.04;Body Repair (Picking Hammer)
5120-00-595-8424;59.13;Bearing Puller Attachment
5120-00-595-9304;31.84;Mechanical Puller
5120-00-595-9305;76.77;Mechanical Puller
5120-00-595-9470;91.59;Punches (Center)
5120-00-595-9519;15.01;Pliers (Flat/Duck Bill Nose)
5120-00-595-9531;10.33;Punches (Drift, Lining-Up)
5120-00-595-9550;23.08;Retaining Ring Pliers (External)
5120-00-595-9551;26.83;Retaining Ring Pliers Automotive (External)
5120-00-595-9555;10.73;Retaining Ring Pliers (External)
5120-00-595-9558;24.66;Body Repair (Surfacing Body Spoon)
5120-00-595-9573;10.78;Screwdriver (Offset Ratchet)
5120-00-595-9574;10.62;Screwdriver (Offset Ratchet)
5120-00-596-0828;20.53;Screwdriver Set
5120-00-596-0836;10.52;Socket (Long Length)
5120-00-596-0864;19.37;Screwdriver (Phillips)
5120-00-596-0931;7.27;Socket Screwdriver Bit (Hex)
5120-00-596-0934;7.27;Socket Screwdriver Bit (Hex)
5120-00-596-0938;4.47;Socket Screwdriver Bit (Hex)
5120-00-596-0940;7.27;Socket Screwdriver Bit (Hex)
5120-00-596-1071;5.52;Hammer Insert (Soft Face)
5120-00-596-1075;6.64;Hammer Insert (Soft Face)
5120-00-596-1106;16.25;Retaining Ring Pliers (Internal)
5120-00-596-1163;3.09;Socket (Long Length)
5120-00-596-1199;10.22;Socket Screwdriver Bit (Hex)
5120-00-596-1263;4.4;Nut Driver (Conventional)
5120-00-596-1355;53.25;Spanner Wrench
5120-00-596-1543;3.29;Machinist's Scriber (Double Point)
5120-00-596-1584;27.13;Fish Tape
5120-00-596-2893;0.74;Screwdriver Bit (Phillips)
5120-00-596-8502;2.3;Flat Tip Screwdriver
5120-00-596-8508;9.93;Socket Screwdriver Bit (Hex)
5120-00-596-8622;145.7;Socket Set (Standard, Long Length)
5120-00-596-8652;146.82;Spanner Wrench Socket Set
5120-00-596-8653;6.77;Flat Tip Screwdriver
5120-00-596-9313;661.97;Wire Termination Crimping Tool
5120-00-596-9364;3.77;Flat Tip Screwdriver
5120-00-596-9552;211.78;Glazier's Point Driver
5120-00-596-9591;23.12;Offset Screwdriver Set (Flat Tip)
5120-00-602-0947;81.56;Antenna Wire Retriever
5120-00-604-5007;28.51;Cowl Fastener Key
5120-00-605-3926;560.12;Vehicle Track Connection Tool
5120-00-610-1888;73.56;Screw Extractor Set
5120-00-611-7525;11.43;Terminal Clamp Spreader
5120-00-618-4433;128.68;Torque Wrench (Indicating)
5120-00-618-4915;18.77;Flat Tip Screwdriver (Non-Sparking)
5120-00-618-6898;35.67;Electrical Conduit Bender
5120-00-618-6899;57.24;Electrical Conduit Bender
5120-00-618-6901;19.07;Inspection Mirror
5120-00-620-0020;31.82;Steering Wheel Puller
5120-00-620-1432;10.64;Retrieving Tool (Magnetic)
5120-00-624-8065;15.56;Electrical Connector Pliers
5120-00-628-5569;22.2;Decal Applicator
5120-00-629-5626;182.04;Hand Jack
5120-00-629-5628;98.77;Aircraft Landing Gear Jack Piston
5120-00-629-6258;11.77;Mechanical Finger
5120-00-640-6355;24.39;Retaining Ring Pliers (Internal)
5120-00-640-6357;22.57;Retaining Ring Pliers (Internal)
5120-00-640-6364;198.95;Torque Wrench (Indicating)
5120-00-640-6365;177.18;Torque Wrench (Indicating)
5120-00-640-6728;1.01;Screwdriver Bit (Hex Tip)
5120-00-640-6729;0.72;Screwdriver Bit (Hex Tip)
5120-00-640-6730;0.72;Screwdriver Bit (Hex Tip)
5120-00-640-6731;0.72;Screwdriver Bit (Hex Tip)
5120-00-640-6732;0.72;Screwdriver Bit (Hex Tip)
5120-00-640-6733;0.72;Screwdriver Bit (Hex Tip)
5120-00-650-7830;188.15;Ratchet Wrench
5120-00-658-9805;124.17;Spanner Wrench Set
5120-00-670-1187;6.13;Caulking Gun Nozzle (Extension)
5120-00-670-3295;1.44;Caulking Gun Nozzle (Cartridge Assembly)
5120-00-672-8897;101.99;Screw Thread Insert Inserting Tool
5120-00-673-1885;0.65;Caulking Gun Nozzle (Round)
5120-00-673-1886;2;Sealant Gun Cartridge
5120-00-674-9215;22.04;Screwdriver (Torq Set)
5120-00-674-9216;26.41;Screwdriver (Torq Set)
5120-00-675-0867;21.27;Screwdriver (Torq Set)
5120-00-679-4459;74.57;Hex Key Set (Screwdriver Type)
5120-00-679-4460;57.35;Hex Key (Screwdriver Type)
5120-00-679-5655;4.22;Caulking Gun
5120-00-683-8597;8.73;Socket Screwdriver Bit (Hex)
5120-00-683-8602;10.22;Socket Screwdriver Bit (Hex)
5120-00-709-4072;49.97;Socket Wrench (Sliding T-Handle)
5120-00-711-7456;152.5;Clinch Locknut
5120-00-714-7400;24.54;Screwdriver (Torq Set)
5120-00-720-1975;192.05;Torque Wrench (Indicating)
5120-00-720-4969;4.79;Flat Tip Screwdriver
5120-00-723-6833;42.49;Screw Thread Insert Extractor
5120-00-724-2145;158.8;Impact Socket Set (Manual)
5120-00-724-3767;3.89;Alignment Tool (Electronic Equipment)
5120-00-731-2862;21.93;Vise Grip (C Clamp)
5120-00-752-9008;31.9;Socket Screwdriver Bit Set (Hex Tip)
5120-00-752-9030;4.33;Punches (Pin)
5120-00-752-9031;6.83;Punches (Pin)
5120-00-752-9755;15.9;Retaining Ring Pliers (External)
5120-00-756-0925;18.04;Screw Extractor
5120-00-756-0946;6.68;Screw Extractor
5120-00-756-1156;22.5;Pliers - Lineman's (Square Head)
5120-00-757-7653;31.76;Electrical Contact Inserter & Remover
5120-00-759-7712;17.89;Drive Pin Punch (Special)
5120-00-761-1732;2.91;Socket (Regular Length)
5120-00-761-2015;1.66;Socket Screwdriver Bit (Hex)
5120-00-764-8058;6.41;Flat Tip Screwdriver
5120-00-764-8097;1.92;Screwdriver (Phillips)
5120-00-765-3688;168.64;Removal Tool Kit
5120-00-766-4811;169;Pin Removing Tool
5120-00-767-7582;2.02;Alignment Tool (Electronic Equipment)
5120-00-769-8706;32.27;Staple Gun (Compression Type)
5120-00-770-9362;121.36;Cable Clamp Pliers
5120-00-772-2466;28.67;Lamp Extractor
5120-00-773-3791;1.61;Caulking Gun Nozzle (Round)
5120-00-775-1670;2.8;Caulking Gun Nozzle
5120-00-775-6980;4.23;Socket (Long Length)
5120-00-776-1841;147.2;Torque Wrench (Indicating)
5120-00-777-2782;15.83;Box Wrench (Single Head, Ratchet)
5120-00-777-6008;76.68;Retaining Ring Installation Tool
5120-00-778-6241;2.31;Alignment Tool (Electronic Equipment)
5120-00-781-0819;14.86;Adjustable Joint Pliers (Angle Nose)
5120-00-781-0820;23.89;Adjustable Joint Pliers (Angle Nose)
5120-00-781-7891;228.58;Plastic Strap Installing Tool
5120-00-781-8977;1.63;Hex Key (Spline Type)
5120-00-785-8151;1.94;Socket Screwdriver Bit (Phillips)
5120-00-789-0492;33.1;Retaining Ring Pliers Set
5120-00-795-0946;86.26;Wrench (Tranion Bearing)
5120-00-797-2402;73.33;Screw Thread Insert Inserting Tool
5120-00-797-2404;66.29;Screw Thread Insert Inserting Tool
5120-00-797-2994;9.36;Socket Screwdriver Bit (Hi-Torque)
5120-00-797-3399;7;Combination Pry & Scraper Bar
5120-00-798-0825;1.61;Screwdriver Bit (Torq Set)
5120-00-801-0949;0.76;Caulking Gun Nozzle (Round)
5120-00-811-8452;0.24;Screwdriver Bit (Phillips)
5120-00-812-5522;35.73;Crowfoot Wrench (Open End)
5120-00-816-5707;63.49;Screw Thread Insert Inserting Tool
5120-00-820-2995;6.9;Screwdriver (Phillips)
5120-00-822-7194;0.83;Caulking Gun Nozzle (Round)
5120-00-826-6007;70.17;Hex Key (T-Shaped)
5120-00-830-5685;2.4;Hex Key (Screwdriver Type)
5120-00-831-1051;9.18;Box Wrench (Double Head, Ratchet)
5120-00-831-1052;13.34;Box Wrench (Double Head, Ratchet)
5120-00-831-1053;8.98;Box Wrench (Double Head, Ratchet)
5120-00-832-6221;9.2;Screw Starter
5120-00-832-6223;6.51;Flat Tip Screwdriver
5120-00-832-6224;186.92;Torque Screwdriver and Bit Set
5120-00-839-8139;175.07;Torque Wrench (Indicating)
5120-00-840-3358;70.37;C Clamp
5120-00-840-7288;19.41;Drive Pin Punch (Special)
5120-00-840-7289;14.66;Drive Pin Punch
5120-00-850-6313;14.72;Retrieving Tool (Magnetic)
5120-00-851-4247;66.9;Screwdriver Bit (Set)
5120-00-853-4538;189.99;Torque Wrench (Indicating)
5120-00-863-4944;12.67;Socket Screwdriver Bit (Hi-Torque)
5120-00-865-0226;10.09;Socket Screwdriver Bit (Drag Link)
5120-00-865-0933;11.9;Oil Filter Wrench
5120-00-870-6928;16.05;Offset Ratchet Screwdriver Set
5120-00-875-6681;139.74;Vise Base
5120-00-877-8806;11.69;Flat Tip Screwdriver (Non-Sparking)
5120-00-878-5932;93.99;Entrenching Tool or E-Tool
5120-00-879-3547;1.27;Socket Screwdriver Bit (Phillips)
5120-00-879-4998;8.82;Inspection Mirror
5120-00-880-4567;77.33;Punch Handle
5120-00-880-4574;138.7;Punch (Drive Pin)
5120-00-880-4575;132.58;Drive Pin Punch
5120-00-880-4604;110.77;Drive Pin Punch
5120-00-883-3003;17.55;Punch Set (Drive Pin)
5120-00-888-5826;2.39;Screwdriver Bit (Torq Set Tip)
5120-00-888-5827;2.65;Screwdriver Bit (Torq Set Tip)
5120-00-888-5828;3.64;Screwdriver Bit (Torq Set Tip)
5120-00-888-5829;2.7;Screwdriver Bit (Torq Set Tip)
5120-00-888-5831;1.7;Screwdriver Bit (Torq Set Tip)
5120-00-888-5833;7.17;Screwdriver Handle (Bit)
5120-00-888-8000;4.45;Crowfoot Wrench (Flare Nut)
5120-00-889-1796;24.39;Staple Gun (Compression Type)
5120-00-889-2050;24.29;Chain Wrench Locking Pliers
5120-00-889-2162;0.12;Hex Key
5120-00-889-2163;0.16;Hex Key
5120-00-890-7816;236.23;Torque Wrench (Indicating, Screwdriver)
5120-00-892-4947;20.19;Flare Nut Wrench (Double Head)
5120-00-892-4952;638.24;Portable Tripod Stand Vise
5120-00-892-5319;26.67;Shovel (Snow)
5120-00-892-5485;25.3;Claw Hammer (Curved Claw)
5120-00-892-5744;24.02;Claw Hammer (Straight Claw)
5120-00-892-5931;13.6;Screwdriver (Offset Ratchet)
5120-00-892-6089;5.62;Combination Wrench (Box and Open End)
5120-00-893-1804;2.43;Hex Key (Screwdriver Type)
5120-00-893-5686;67.53;Hex Key Set (Spline)
5120-00-900-1283;218.91;Torque Wrench (Indicating)
5120-00-900-6095;30.14;Blacksmith's/Engineer's Hammer (Sledge)
5120-00-900-6096;37.01;Blacksmith's/Engineer's Hammer (Sledge)
5120-00-900-6097;46.08;Blacksmith's/Engineer's Hammer (Sledge)
5120-00-900-6098;55.7;Blacksmith's/Engineer's Hammer (Sledge)
5120-00-900-6103;21.58;Blacksmith's/Engineer's Hammer (Cross-Peen)
5120-00-900-6109;26.03;Claw Hammer (Curved Claw)
5120-00-900-6110;30.85;Claw Hammer (Curved Claw)
5120-00-900-6111;31.41;Ball Peen Hammer (Fiberglass Handle)
5120-00-900-6113;28.47;Claw Hammer (Straight Claw)
5120-00-900-9344;0.23;Hex Key (Metric)
5120-00-900-9345;0.39;Hex Key (Metric)
5120-00-902-0092;25.52;Blacksmith's/Engineer's Hammer (Cross-Peen)
5120-00-902-0093;28.28;Blacksmith's/Engineer's Hammer (Cross-Peen)
5120-00-902-0094;69.71;Blacksmith's Hammer (Cross Peen)
5120-00-903-8545;12.77;Hammer Insert Holder (Soft Face)
5120-00-903-8546;16.57;Hammer Insert Holder (Soft Face)
5120-00-903-8547;20.02;Hammer Insert Holder (Soft Face)
5120-00-903-8552;41;Hammer Insert Holder (Soft Face)
5120-00-903-8553;19.01;Hammer Insert Holder (Soft Face)
5120-00-903-8555;34.93;Hammer Insert Holder (Soft Face)
5120-00-903-8938;12.75;Socket Screwdriver Bit (Hi-Torque)
5120-00-903-9303;113.82;Blacksmith's/Engineer's Hammer (Cross-Peen)
5120-00-903-9310;17.9;Hammer Insert Holder (Soft Face)
5120-00-905-6729;6.06;Flat Tip Screwdriver
5120-00-905-6730;7.09;Flat Tip Screwdriver
5120-00-906-0168;45.49;Open End Wrench Set (Double Head)
5120-00-913-5843;3.56;Flat Tip Screwdriver
5120-00-915-4587;1.05;Electrical Contact Tool (Installing and Removing)
5120-00-915-4588;0.69;Electrical Contact Tool (Installing and Removing)
5120-00-921-0574;0.72;Screwdriver Bit (Hex Tip)
5120-00-923-9620;76.93;Torque Wrench (Limiting Screwdriver)
5120-00-926-5175;5.49;Battery Brush
5120-00-926-7116;75.57;Wood Mallet
5120-00-926-7117;117.06;Wood Mallet
5120-00-928-8696;66.13;Pick (Digging)
5120-00-930-7503;73.8;Electrical Contact Tool (Removing)
5120-00-930-7504;61.23;Electrical Contact Tool (Installing)
5120-00-931-8361;185.17;Torque Wrench (Limiting Screwdriver)
5120-00-933-8979;21.76;Screwdriver Bit Set & Handle
5120-00-935-0772;1135.16;Hydraulic Hand Jack Kit
5120-00-935-4570;4.94;Socket (Long Length)
5120-00-935-4612;7.27;Socket Screwdriver Bit (Hex)
5120-00-935-4641;25.16;Hex Key Set
5120-00-935-4651;38.21;Socket Wrench
5120-00-935-7309;31.38;Socket Set (Universal Joint)
5120-00-935-7310;161.33;Combination Wrench Set (Box and Open End)
5120-00-935-7313;20.67;Socket Set (Standard, Regular Length)
5120-00-935-7333;106.08;Combination Wrench Set (Box and Open End)
5120-00-935-7340;19.13;Hex Key Set (T-Shaped)
5120-00-935-7367;21.41;Flare Nut Wrench (Double Head)
5120-00-935-7370;7.06;Combination Wrench (Box and Open End)
5120-00-935-7371;8.54;Combination Wrench (Box and Open End)
5120-00-935-7372;8.34;Combination Wrench (Box and Open End)
5120-00-935-7411;5.34;Socket (Regular Length)
5120-00-935-7416;5.94;Socket (Regular Length)
5120-00-935-7420;6.92;Socket (Regular Length)
5120-00-935-7421;7.56;Socket (Regular Length)
5120-00-935-7423;8.04;Socket (Regular Length)
5120-00-935-7425;9.4;Socket (Regular Length)
5120-00-935-7440;7.12;Socket (Long Length)
5120-00-935-7441;7.36;Socket (Long Length)
5120-00-935-7446;11.56;Socket (Long Length)
5120-00-935-7451;11.81;Socket (Long Length)
5120-00-935-7472;9.63;Socket (Long Length)
5120-00-935-7474;4.9;Socket Screwdriver Bit (Hex)
5120-00-935-7490;4.68;Socket (Regular Length)
5120-00-937-5438;552.11;Plastic Strap Installing Tool
5120-00-943-0929;14.88;Socket Screwdriver Bit (Clutch)
5120-00-943-0941;185.17;Torque Wrench (Limiting Screwdriver)
5120-00-944-4268;15.85;Battery Terminal Clamp Puller
5120-00-948-3214;7.45;Socket (Long Length)
5120-00-949-8368;61.15;Alignment Tool Set
5120-00-952-3507;96.89;Sealant Gun
5120-00-954-1269;39.82;Soldering Tweezers
5120-00-954-1272;38.79;Soldering Tweezers
5120-00-957-3652;0.89;Screwdriver Bit (Flat Tip)
5120-00-957-3798;19.56;Solder Remover Syringe
5120-00-962-7580;23.01;Open End Wrench Set (Double Head) Angle Style
5120-00-963-7661;115.65;Electrical Contact Remover
5120-00-965-0326;1.99;Friction Igniter
5120-00-965-0603;1.06;Friction Igniter Flint Tips
5120-00-965-0604;9.85;Vise Grip Pliers (Curved Jaw)
5120-00-965-0626;7.63;Screwdriver (Phillips)
5120-00-965-0879;13.84;Pry Bar (Die Setter)
5120-00-965-9550;59.65;Shovel
5120-00-966-5372;5.85;Caulking Gun Nozzle (Round)
5120-00-966-5374;6.11;Caulking Gun Nozzle
5120-00-966-5375;7;Caulking Gun Nozzle (Slotted)
5120-00-966-5378;2.95;Caulking Gun Nozzle (Rectangular)
5120-00-966-5379;6.53;Caulking Gun Nozzle (Rectangular)
5120-00-966-5381;9.04;Caulking Gun Nozzle (Rectangular)
5120-00-966-8270;6.53;Caulking Gun Nozzle
5120-00-967-8151;1.99;Caulking Gun Nozzle (Round)
5120-00-969-0071;8.61;Socket Screwdriver Bit (Hex)
5120-00-970-8947;16.78;Hex Key Set (Spline)
5120-00-971-7053;18.2;Hammer Insert (Soft Face)
5120-00-987-0785;147.2;Electrical Contact Remover
5120-00-987-1589;0.65;Socket Screwdriver Bit (Hex)
5120-00-990-1378;1.39;Alignment Tool (Electronic Equipment)
5120-00-991-1907;51.09;Multi Position Vise
5120-00-996-2270;0.94;Screwdriver Bit (Phillips)
5120-00-997-2858;9.03;Screwdriver Bit (Set)
5120-01-003-2366;76.68;Torque Wrench Extension (Limiting)
5120-01-004-2718;6.11;Hex Key Set (Ball End)
5120-01-008-3632;361.19;Torque Wrench Bar
5120-01-013-1676;89.63;Slide Hammer Assembly
5120-01-014-1833;3.51;Metric Socket (Regular Length)
5120-01-014-7672;3.31;Screwdriver (Pozidriv)
5120-01-015-1422;1575.84;Cap Installing Tool
5120-01-016-2149;662.28;Vehicle Track Connection Tool
5120-01-016-5850;2.76;Hex Key Set (Metric)
5120-01-016-7144;89.16;Combination Wrench (Box and Open End)
5120-01-018-5908;0.42;Orangewood Stick
5120-01-018-8956;94.86;Hex Key Set (Screwdriver Type)
5120-01-018-8975;7.18;Screwdriver Bit (Hex Tip)
5120-01-018-8976;7.18;Screwdriver Bit (Ball Hex Tip)
5120-01-018-8977;7.18;Screwdriver Bit (Ball Hex Tip)
5120-01-018-8978;7.18;Screwdriver Bit (Ball Hex Tip)
5120-01-018-8981;7.18;Screwdriver Bit (Ball Hex Tip)
5120-01-019-7864;3.31;Hex Key (Screwdriver Type)
5120-01-020-7810;3.44;Screwdriver Bit (Flat Tip)
5120-01-021-5730;54.65;Pliers - Lineman's (Round Head)
5120-01-021-7381;14.35;Remover and Installer
5120-01-023-4212;9.47;Sockets (Spline)
5120-01-023-4217;1.69;Sockets (Spline)
5120-01-024-6144;6.07;Metric Socket (Regular Length)
